Nearest_Fault,Count,Mean_Mag,Mean_Slip_Rate_mm_per_yr,Mean_Slip_Deficit_m,Mean_Elapsed_Time_yr,Mean_Mw_Potential
Orhaneli Fayı,7281,2.658123884081857,2.5,0.425,170.0,1.7717134507319567
Kuzey Anadolu Fay Zonu,4616,2.6021013864818023,7.5,0.195,26.0,2.6482855807903256
Kuzey Anadolu Fay Zonu Ganos Fayı,2446,2.594644317252657,5.0,0.5650000000000001,113.0,2.021303047479765
Troya Fayı,2341,2.54438274241777,1.5,0.1720000000000001,114.66666666666674,1.547107398856216
Havran-Balıkesir Fayı,1086,2.5629834254143646,2.5,0.3175,127.0,1.95257665623177
Manyas Fay Zonu,767,2.6322033898305084,0.8,0.0488,61.0,1.1830039462578732
Eskişehir Fay Zonu,763,2.5878112712975097,4.5,0.3105,69.0,2.361621433086775
Yenice-Gönen Fay Zonu,638,2.584639498432602,2.433333333333333,0.1751999999999999,72.0,1.5924944342232106
Bekten Fayı,605,2.6044628099173552,3.333333333333333,1.25,375.0,1.9876056428344155
Kuzey Anadolu Fay Zonu Ulubat Fayı,536,2.602238805970149,3.5,0.595,170.0,2.0511329892266077
Mustafakemalpaşa Fayı,449,2.577728285077951,2.5,0.9375,375.0,2.133816584901723
Yenimahalle Fayı,77,2.490909090909091,2.433333333333333,0.0413666666666666,17.0,0.6007361852866673
