M,N
2.0,21605
2.1,20149
2.2,18908
2.3000000000000003,16296
2.4000000000000004,14893
2.5000000000000004,12889
2.6000000000000005,9935
2.7000000000000006,6936
2.8000000000000007,4350
2.900000000000001,2734
3.000000000000001,1814
3.100000000000001,1282
3.200000000000001,938
3.300000000000001,692
3.4000000000000012,548
3.5000000000000013,398
3.6000000000000014,311
3.7000000000000015,249
3.8000000000000016,207
3.9000000000000017,167
4.000000000000002,136
4.100000000000001,108
4.200000000000002,89
4.3000000000000025,69
4.400000000000002,58
4.500000000000002,44
4.600000000000002,36
4.700000000000003,27
4.8000000000000025,24
4.900000000000002,20
5.000000000000003,16
5.100000000000003,11
5.200000000000003,7
5.3000000000000025,3
5.400000000000003,3
5.5000000000000036,3
5.600000000000003,3
5.700000000000003,3
5.800000000000003,2
5.900000000000004,1
6.0000000000000036,1
6.100000000000003,1
6.200000000000004,0
